,id,weibo_content,tag_wxr,tag_ljn,tag_gsy,ans
30,94020473290,"不感兴趣的东西做起来我是adhd 感兴趣的东西一伏案就是一天10h➕心流模式
喝点中药能调理吗😅 ​​​",1,0,1,1
31,93278982423,ADHD真的活得很辛苦[裂开][裂开] ​​​,1,1,1,1
32,96062426928,感觉我得ADHD了 坐在办公室浑身难受 ​,1,1,1,1
35,92811602006,"天天和dissertation缠缠绵绵到深夜我要确诊adhd啦[毕业快乐]
还好还有紫色的天 ​​​",1,0,1,1
37,94724521804,严重怀疑本人有adhd 注意力极其不集中且在开小差的时候把自己的手扣的鲜血直流…真得去看看了如果确诊了考雅思还能多考一会儿 ​,1,1,1,1
40,93859338005,很难专注 丢三落四 很难不怀疑自己ADHD ​,1,1,1,1
41,95915998853,随着对adhd了解深入 越来越觉得需要靠意志力/自律 强迫自己才能去做的 看起来对的事情 都是不适合自己的 我每天都要克服自己的烦躁哄着去做的事 只能勉强达到下线  真正喜欢+擅长的事情 根本不需要调动情绪能量去抵抗负面情绪 就可以快速启动 时长拉满 也不会觉得疲惫 而且会想着精益求精 还不断吸引同 ​,1,1,1,1
42,92634341395,"我发现，患有adhd 的我，从小用尽了各种努力去伪装成一个正常无碍的人，我的方法便是模仿各种各样身边或者影视剧里的人，成年后到现在无法健康地形成自我意识，无法真心实意感受生活和对待身边的人，以至于至今我不知道自己到底是一个怎么样的人。
我总是在用“自动驾驶模式”去应对生活中的社交和遇到 ​​​",1,1,1,1
44,92801685565,#双相情感障碍[超话]# adhd伴着双相情感障碍，还有bpd，可怎么整。。情绪一分钟一个样，一天到晚都坐在那个过山车上，从来就没下来过。有的治吗，妈的这会儿又焦虑又郁了，还不知道1分钟后怎么样 ​,1,1,1,1
45,94621414102,挺好的，adhd访谈完了，adhd确诊是无误了，但是当值的医生说我这个情况比较复杂因为有双相病史不敢直接给我开兴奋剂，让我约月底的专家号开药[微笑]行吧！ ​,1,1,1,1
51,93142052271,每次出门回来都慌张地看看有没有落下的东西，总觉得自己忘记了什么，但每次出去玩都真的会丢东西让我好崩溃😭😭😭而且每次都丢重要的/心爱的东西，那个墨镜代言的黑色款又让我弄丢了😭😭😭好不容易收到的。每个暑假必丢身份证😭😭😭好崩溃，们adhd真是不能拥有太多的好累赘的特质， ​,1,1,1,1
52,92736066225,使我觉得窒息无法逃离的其实根本就不是我那倔犟的不值一提的自尊心而是无论是旁人还是家长还是其他人无时无刻都让我觉得在这个世界上没有文凭没有样貌没有才华没有智商就会被所有人嘲笑和唾弃的耻感。我就这么被世俗的偏见精神折磨却因为adhd和精神病还有拖延症只能看着我那新构建的理想蓝图被自己亲手 ​,1,1,1,1
53,96552948707,感觉自己像ADHD.....论文introduction都没看完但是打开了十个网页玩了数次手机。。。。。 ​​​,1,1,1,1
55,94569898885,其实抑郁焦虑情绪会因为adhd没有得到改善而恶化，所以很难讲是因为adhd而焦虑，还是因为焦虑而影响行为功能（低功能焦虑），我觉得我[单身狗]以前可能是adhd，但是现在情绪问题明显更严重了[抱抱][抱抱],1,1,1,1
57,93618326998,一些adhder无语瞬间：出门前又折返一次才带全了东西，结果在路上又把这玩儿弄丢了[融化] ​​​,1,1,1,1
59,94372070474,ADHD上网课 老师不仅要开视频监视我有没有走神 还要共享桌面防止我摸鱼磕cp [好运连连] ​​​,1,1,0,1
61,92454993853,我擦……说到打游戏，真的严重怀疑我有ADHD，我必须在ipad打铲铲的同时手机刷小红书/微博，然后旁边摊开一本书装模作样背书,1,1,1,1
63,92836427892,上个学期，我就像是傀儡一样每天浑浑噩噩的宿舍工位食堂三点一线的生活，没有任何规划。一切的不开心、不顺利都源于我强烈的自卑，源于我对自己全方面的否定。我对自己的外貌和体重很自卑，对自己的科研也找不到方向和热情，一开始写论文就犯ADHD，进展很慢，学东西很慢，毕业任务很重，找工作压力很大 ​​​,1,1,1,1
67,94507300493,说实话俺们家太努力了。。很安心 我作为adhd患者真的。。想看但是每次看到一半都得换点东西看再回来继续。。很安心没得说 ​,1,1,0,1
72,93185951262,在公司ADHD大发作看不进一句话， 回家挑灯夜战[拳头] ​,1,1,1,1
77,92310187937,记一下，比较在怀疑的概率大的 焦虑症躯体化 p1 高敏感 p2 3 adhd或cptsd（暂无法确定开始时间） 关节过动 p4 回避型人格障碍（表现都符合但自我感觉没有那么低自尊，大概） 注意到新的再补充 ​,1,1,1,1
79,94788845362,最近adhd又有点严重了，我需要脱离线上调理调理，但还是会一直听你的每一首歌每一个舞台，期待下一次见面[抱抱][抱抱],1,1,1,1
81,93724841484,每次试图降低眼睛压力开始听书并强迫自己不要做别的事情最终就会睡死过去 我认为这是adhd的另一个侧面[开学季] ​,1,1,1,1
84,95152637663,"是不是真的只有adha，才会在独处的时候不停地在脑子里和自己说话
是不是真的只有adhd，才会拥有跳跃的思维以至于丢三落四 ​​​",1,1,1,1
85,95871839909,我会不会只是个肚子，我就是看到知乎说adhd，说那些搞物理数学搞出点成果的很多都有多动症，我表哥多动症，应该是我外公外婆近亲结婚的产物，但是我们家考得最好的也就我表弟，武汉理工，你们找哪个大师算算吧，底下两张牌，看数字，这个数罗汉的规则是随便从哪一个开始，随便数多少个，a+b，a和b都是 ​​​,0,1,1,1
88,93075902057,别人确诊adhd都是与自己和解我确诊特么更焦虑了这药一个月吃我三分之一生活费我不如一辈子烂着算了 ​,1,1,1,1
91,96196905983,每一次坐在电脑桌前都想给自己诊断adhd[微笑][微笑][微笑][微笑][微笑][微笑] ​​​,0,1,1,1
92,94491003577,"""后半夜着急睡觉学习法""太适合我了…睡觉就相当于一个ddl（adhd没有ddl什么也做不了）自己给自己设立一个不学到哪就不睡觉的目标…想睡觉驱动着自己赶紧学 效率比白天走神刷微博好太多了…就是有点不健康…
海马体加油👏 ​​​",1,1,1,1
93,93623508763,知道自己可能adhd以后想到一些过去的事情不禁豁然开朗了[淡淡的]现在就是觉得我大学的室友很可怜，因为我大学时完全就是互联网上对adhd吐槽贴里那种糟糕的adhd……那些年真的辛苦她们了，因为我完全生活不能自理[淡淡的] 现在想想，我从小一直很怨我妈为什么总要打断我的专注，因为我能够专注是非常不 ​,1,1,1,1
94,95775362585,10581【头高】adhd确诊之后会有任何变化吗？确诊了会变好吗？吃药会不会变肥？吃药一定有效果吗？要花多少钱呢？医生看到我已经成年会不会让我少看点削哄输别自己对号入座了？家里人会不会又说我一天到晚想这些有的没的？确诊了会原谅自己吗？原谅自己什么都做不好纯肺唔都情有可原？我现在想来想去如 ​,1,1,1,1
96,96187296188,呜呜，测出来是个智障惹（）  原来我是ADHD ​,0,1,1,1
97,92875050897,"去保健中心咨询的结果，撞大运般地遇上了东大医院循环器科的退休返聘老专家……
好消息：adhd的治疗药不光不会使我的心率不齐恶化真的要说的话对我的心律病甚至是治疗作用耶！！
坏消息：心电图结果比起去年恶化了（。医生很严肃地表示你这又有束支传导阻滞又有房室传导阻滞两个叠在一起很危险（。以前 ​​​",1,0,1,1
98,94995615200,我发现我经常会想别人会不会讨厌我 但我从来不会讨厌自己。我爱我的一切。 我是有adhd偏向 但那咋了 我活泼开朗有想象力。我是拖延 但那咋了 重要的事情我一定会在deadline之前做完。我是爱啥啥都分享 但那咋了 每一条分享都有它自己的受众。 感谢上天给予我的一切。 ​,1,1,0,1
99,93358733161,在图书馆坐如针毡以至于怀疑自己是不是有adhd ​,1,1,1,1
